sigla	vacantes	creditos
IIC1237	80	10
IIC2030	80	10
ICS1022	50	10
ICS1234	50	10
IIC2233	35	55
IIC1134	40	20
EYP1113	100	10
MAT1620	80	15
MAT1630	90	10
ICS1112	70	20
IIC2714	40	10
ICS2523	50	5
ICS3902	30	30
ICT2213	40	10
ICT2223	50	10
ICT2233	40	10
ICT2443	55	10
ICT3352	20	10
ICT3442	44	11
ICT3993	25	11
ICM1001	30	10
ICM1003	40	10
ICM1312	20	10
ICM2003	25	10
ICM2028	40	10
ICM2243	35	10
ICM2323	50	10
ICM2222	60	15
ICM2509	40	10
ICM2508	60	10
ICM2803	45	15
ICM3010	30	8
ICM3140	35	10
ICH1104	60	10
ICH2304	70	10
ICH2314	50	10
ICH3254	40	15
