"CaGScdls","Tue Jun 30 00:18:43 +0000 2015","Mientras tanto en la gerencia de #TOTTUS #CopaAmerica #CopaAmericaChile2015  #Chile #Peru #CA2015 http://t.co/95qHVbF2AX"
"_herculesTV","Tue Jun 30 00:18:43 +0000 2015","DESCANSO: #CHI 0-0 #PER #CopaAmerica #Chile2015"
"LaMareaec","Tue Jun 30 00:18:43 +0000 2015","#CopaAmerica 
Fin del primer tiempo http://t.co/Z4ukYGlVPM
#Chile 1-0 #Peru"
"JuanjoOA27","Tue Jun 30 00:18:43 +0000 2015","#JuanjoOAunico
#Peru vs. #Chile: 46 Acabo el primer tiempo. Chile se lleva la minima ventaja al descanso. #CopaAmerica #Chile2015"
"maxikron","Tue Jun 30 00:18:44 +0000 2015","Final del PT. #Chile 1 (Eduardo Vargas) vs #Peru 0 (Expulsado Zambrano) // #CopaAmerica #Chile2015"
"ElGeorgeRamirez","Tue Jun 30 00:18:44 +0000 2015","Que #MalaLeche ahora #Chile metio un gol. Ojala se recuperen los peruanos #Peru haganlo por la Tigresa #CopaAmerica http://t.co/1RFwkhbF11"
"amodernell1","Tue Jun 30 00:18:46 +0000 2015","RT @juventusfc: Continua il sogno #CopaAmerica per @kingarturo23 a caccia della finale. Suerte Guerrero suerte @LaRoja! #CHIPER http://t.…"
"HeyPrissy_","Tue Jun 30 00:18:47 +0000 2015","Let me guess twitter the goal post was part of the cheating plan #CopaAmerica #copachile #Chile #ChilevsPeru"
"FutGuatemalteco","Tue Jun 30 00:18:47 +0000 2015","#CopaAmerica Final 1er Tiempo #Chi 1-0 #Per"
"EdwinRamirez76","Tue Jun 30 00:18:47 +0000 2015","DESCANSO: #Chile 1-0 #Peru #CopaAmerica"
"RosarioPompizzi","Tue Jun 30 00:18:48 +0000 2015","RT @KeopsFM: En #LaPlata la #CopaAmerica #Chile2015 se vive por La 90.1 @KeopsFM a traves de @ESPNFCRadio http://t.co/195dfn5bWB"
"RealAless8","Tue Jun 30 00:18:48 +0000 2015","Descanso en Santiago #Chile 1-0 #Peru con uno menos sera dificil remontar para los peruanos #CopaAmerica"
"AlexisEquis","Tue Jun 30 00:18:48 +0000 2015","Se acaba el primer tiempo en el estadio Nacional. #Chile 1-0 #Peru #CopaAmerica #chile2015 #Semifinales"
"RoderickCrowley","Tue Jun 30 00:18:49 +0000 2015","¡Termino el primer tiempo! #CHI se va a las duchas con ventaja de 1-0 sobre #PER. #CopaAmerica"
"TDW_Radio","Tue Jun 30 00:18:49 +0000 2015","#CopaAmerica

¡Fin del primer tiempo!

Eduardo Vargas lleva momentaneamente a #CHI a la final.

EN VIVO POR #TDW http://t.co/spLTnLgRnd"
"Javier_Panzardo","Tue Jun 30 00:18:49 +0000 2015","#Futbol / Eduardo #Vargas lleva 47 partidos disputados con #Chile. Marco 21 goles (3 en la presente #CopaAmerica). http://t.co/ZUDIGOi1R7"
"denissantiv","Tue Jun 30 00:18:49 +0000 2015","RT @Carollagher: Zoom en HD a la espinilla de bravo #LaEspinillaDeBravo #VamosChile #VamosChileCTM #VamosChileCarajo #chi #CopaAmerica http…"
"ManguezalFM","Tue Jun 30 00:18:49 +0000 2015","Intervalo em Santiago: Chile 1 x 0 Peru #CHI #PER #COPAAMeRICA #Chile2015"
"Puma_RatedR","Tue Jun 30 00:18:50 +0000 2015","#CopaAmerica &lt;&lt;SF&gt;&gt;

#Chile 1-0 #Peru 
(🕐45)"
"El_TiburonAzul","Tue Jun 30 00:18:50 +0000 2015","Esssssoooo es #Chile ganando #CopaAmericaChile2015 #CopaAmerica #ChilevsPeru"
"ReyesBastian","Tue Jun 30 00:18:50 +0000 2015","Hoy esta apareciendo Alexis. #CHI #PER #CopaAmerica"
"BaqueroZaritza","Tue Jun 30 00:18:50 +0000 2015","RT @Sports_VZLA: #CopaAmerica #Chile2015 FINAL 1T: #Chile 1-0 #Peru #Semifinal"
"lamesatecnica","Tue Jun 30 00:18:50 +0000 2015","#Chile2015 MITAD: #Chile 1 (Vargas) #Peru 0 | Semifinales | #CopaAmerica #MesaTecnica"
"favouritdotcom","Tue Jun 30 00:18:51 +0000 2015","And that #Vargas goal sees @LaRoja #chi take a 1-0 lead going into HT. And they also have a man advantage vs #per @TuFPF #CopaAmerica"
"PlantillaDepor1","Tue Jun 30 00:18:51 +0000 2015","Termina la primera parte #Chile vence por la minima a #Peru en la semifinal de la #CopaAmerica. El gol lo consiguio Vargas"
"pisis20022000","Tue Jun 30 00:18:52 +0000 2015","RT @mundodeportivo: ¡Gol de Vargas! #CHI 1-0 #PER EN DIRECTO http://t.co/HJAVRA2nmr #CopaAmerica"
"rgo_marin","Tue Jun 30 00:18:52 +0000 2015","RT @el_pais: ¡Gol de Vargas!  #Chile 1 - #Peru 0 #CopaAmerica. Sigue el partido minuto a minuto -&gt; http://t.co/c85SFg5pok http://t.co/5d9…"
"cristianbailone","Tue Jun 30 00:18:52 +0000 2015","#CopaAmerica el robo ha comenzado. Como siempre #Chile ladron y traidor...!"
"futbolentucasa","Tue Jun 30 00:18:52 +0000 2015","#CopaAmerica MT #CHI 1-0 #PER"
"tatid__","Tue Jun 30 00:18:52 +0000 2015","RT @mbretosESPN: I have never seen a goal quite like that. #CHI playing tic tac toe. #CopaAmerica"
"RaulAndres2001","Tue Jun 30 00:18:53 +0000 2015","¡Termino el 1T! #Chile 1-0 #Peru #CopaAmerica #Chile2015"
"martin97_ne","Tue Jun 30 00:18:53 +0000 2015","RT @AtaqueFutbolero: [FINAL PT] Con gol de Vargas #Chile le gana 1-0 a #Peru y por ahora es finalista de la #CopaAmerica. Los de Gareca …"
"arturcesar7","Tue Jun 30 00:18:53 +0000 2015","RT @luismateus: #CopaAmericaChile2015 #CopaAmerica #CHI #PER Isto seria tão mais giro 11 para 11..."
"VicGonalons","Tue Jun 30 00:18:54 +0000 2015","MT #CopaAmerica #Chile2015 #CHIvsPER #CHI #PER 1-0"
"hlchavezg","Tue Jun 30 00:18:54 +0000 2015","#chile vs #peru
#CopaAmerica 
A #Alexis se le quedaron las piernas en el camarin???
No se vio los primeros 45"
"Franfresa","Tue Jun 30 00:18:55 +0000 2015","Mantengan la decencia peruanos! #Chi #ChilevsPeru #CopaAmerica"
"Cristian25Rodri","Tue Jun 30 00:18:55 +0000 2015","RT @mundodeportivo: DESCANSO: #CHI 1-0 #PER http://t.co/HJAVRA2nmr #CopaAmerica http://t.co/KpDCAEMaAp"
"littleguardian","Tue Jun 30 00:18:55 +0000 2015","It aint great goal bt still a goal. #chile is getting closer to the final. #copaamerica #copaamerica2015"
"SabidoClick","Tue Jun 30 00:18:55 +0000 2015","(EN VIVO) 45’ (+1) Termina la primera etapa. #Chile 1-0 #Peru #CopaAmerica http://t.co/LuhdQp6dkT http://t.co/exvyYpaa8l"
"yacco500","Tue Jun 30 00:18:56 +0000 2015","RT @rppdeportes: #Peru vs. #Chile: 46 Acabo el primer tiempo. Chile se lleva la minima ventaja al descanso. #CopaAmerica #Chile2015"
"leobernardi_90","Tue Jun 30 00:18:56 +0000 2015","RT @zizhu: Las escuadras americanas juegan contra #Chile y sus arbitros en la #CopaAmerica"
"RICHDIGI","Tue Jun 30 00:18:56 +0000 2015","Bravo #Chile! The ugliest fucking goal in history. #CopaAmericaChile2015 #CopaAmerica"
